,USDT_BTC_c,USDT_BTC_v,USDT_ETH_c,USDT_ETH_v,USDT_QTUM_c,USDT_QTUM_v,USDT_XRP_c,USDT_XRP_v,USDT_STR_c,USDT_STR_v,USDT_LTC_c,USDT_LTC_v,USDT_BCHABC_c,USDT_BCHABC_v,USDT_ZEC_c,USDT_ZEC_v,USDT_DASH_c,USDT_DASH_v,USDT_EOS_c,USDT_EOS_v,USDC_BTC_c,USDC_BTC_v,BTC_ETH_c,BTC_ETH_v,BTC_LTC_c,BTC_LTC_v,BTC_XRP_c,BTC_XRP_v,ETH_EOS_c,ETH_EOS_v,ETH_ZEC_c,ETH_ZEC_v,ETH_ETC_c,ETH_ETC_v,XMR_LTC_c,XMR_LTC_v,XMR_ZEC_c,XMR_ZEC_v,XMR_DASH_c,XMR_DASH_v
2145,8109.90090231,14178.53594024,256.0,4250.46206254,3.1872884,0.0,0.39760159,75.30375313,0.12593874,67.0,137.90701493,209.22925618,324.43459645,0.0,91.0,3210.45436148,150.75061461,0.0,6.36400649,2068.30915426,8159.99997981,7543.99997927,0.03157995,0.6726644,0.01697034,35.64525661,4.901e-05,1.25184418,0.02472758,0.0,0.35699916,0.08975943,0.03362479,2.74757893,1.53458482,0.0,1.01400012,2.38088064,1.6832,0.0
2146,8125.46160984,16339.67492319,256.16011034,2315.53885251,3.1872884,0.0,0.39700001,163.15425315,0.126,30070.01082909,137.28768306,10835.566616,324.43459645,0.0,90.99994711,4599.72690155,150.23956517,75.46290966,6.31034866,1058.17722291,8174.94048061,7910.4331111,0.03161999,2.00534217,0.01693499,5.64962801,4.89e-05,7.29354141,0.02479437,1.36369033,0.35699916,0.0,0.03362479,0.0,1.53458482,0.0,1.01400012,0.0,1.6832,0.0
2147,8116.66000015,46885.6926972,256.63,4052.47993705,3.1872884,0.0,0.3985,11434.54884731,0.12623394,2716.43948294,137.7,11708.0226693,324.43459645,0.0,90.01285775,8488.78166407,150.9090909,6.87104181,6.31973892,9832.74686372,8172.84196734,45.58466302,0.03161,1.43116774,0.01692405,4.21304361,4.904e-05,1.18103183,0.02482651,51.45241767,0.35278425,0.0537058,0.03362479,0.0,1.54070089,0.07916541,1.00797503,0.00387564,1.6832,0.0
2148,8116.66000004,77277.19054775,255.71267992,374.73799119,3.1872884,0.0,0.39942412,1598.23768399,0.12603808,2026.34274283,136.86175124,7961.74384795,324.43459645,0.0,88.99203321,269.38896291,153.5,2295.84219147,6.32405041,1199.21862112,8177.95382394,108438.36169906,0.03152473,3.40896665,0.01677,7.70586382,4.9e-05,0.86980305,0.02488858,29.47474036,0.34916213,0.05613516,0.03362479,0.0,1.51,0.06679905,0.99538861,0.01012785,1.6832,0.0
2149,8107.24617558,17793.57439067,254.7,30725.19324239,3.1872884,0.0,0.39849285,1075.99713093,0.12565874,1583.90358163,134.40000086,20026.7745075,324.43459645,0.0,88.17814302,514.97104561,152.6,731.67807017,6.38034534,14071.18384441,8165.0,199.19611663,0.03135999,2.65307611,0.01657549,13.8662459,4.903e-05,0.10224486,0.02488858,0.0,0.348,2.00099638,0.03362479,0.0,1.49597969,0.284848,0.99538861,0.0,1.70021876,0.00288064
2150,8101.99909993,61893.84352508,253.89634038,39062.46913646,3.1872884,0.0,0.39655756,24730.78024543,0.1245,7042.93331754,132.44805669,19466.31903231,324.43459645,0.0,88.17815548,412.73885201,152.6,0.0,6.30584329,1597.79634731,8130.55646646,62927.64018079,0.03140431,0.8625973,0.01646505,20.76350793,4.903e-05,0.83525526,0.02488858,0.0,0.34971265,0.04563595,0.03362479,0.0,1.49429022,9.28290358,0.99538861,0.0,1.70876258,0.00864189
2151,8071.36704029,37092.79431142,253.67285075,9383.46326302,3.1872884,0.0,0.39559322,68.27382922,0.12440001,49.69593004,130.95015827,34850.52108264,324.43459645,0.0,88.22067733,1648.33748874,151.65909797,202.16882082,6.31340017,450.53927692,8110.97028945,37093.46900766,0.03141,1.05846089,0.01628999,29.8856348,4.895e-05,1.33421913,0.02496484,1.37306585,0.34971265,0.0,0.03362479,0.0,1.47888782,2.79951485,0.99538861,0.0,1.70876258,0.0
2152,8078.09772846,11606.29686231,254.50375306,4086.15524054,3.1872884,0.0,0.39559322,2573.28197733,0.12582174,2088.99999999,133.72677987,16101.50383134,325.92521682,53.13860616,88.31971216,502.40296651,151.65909797,0.0,6.31340017,0.0,8126.37042691,10275.80073262,0.03146938,0.24233379,0.01649,21.82837916,4.9e-05,0.04871288,0.02496484,0.0,0.34749653,0.36936568,0.03362479,0.0,1.49678899,0.00861213,0.99538861,0.0,1.70876258,0.0
2153,8100.74168733,29660.09165429,256.55261038,14430.0976394,3.1872884,0.0,0.3979661,4145.43142914,0.12548557,143.68858638,133.74187825,4646.93581636,325.92521682,0.0,88.96559654,19.77580748,152.2,106.54,6.31145612,2787.46682269,8126.66766694,12138.62812337,0.03168025,2.00668629,0.01655501,5.20688798,4.909e-05,0.42922986,0.02496484,0.0,0.34642886,0.0774544,0.0332653,0.1034886,1.50924078,0.25921988,0.99538861,0.0,1.70876258,0.0
2154,8098.59775843,99842.87215136,255.87781098,3386.19563279,3.1872884,0.0,0.3985287,22551.83434325,0.126,143.07809286,134.39742177,8485.71384801,321.43346003,1.15609651,88.31971916,49.01744413,152.8,159.67268865,6.31145612,0.0,8143.77029736,7683.58366758,0.03158508,0.95786217,0.01647036,2.37274086,4.912e-05,0.14312835,0.02470492,2.80035907,0.34642886,0.0,0.0332653,0.0,1.50924078,0.0,0.99538861,0.0,1.70876258,0.0
